"START_ID","END_ID","TYPE","props_json"
"PipelineRun|asd_run_001","Pipeline|ASD_privacy_walkthrough","executes","{}"
"DataRecordArtifact|D7_NormalizedEpisodeData::record::3","DataCellArtifact|D7_NormalizedEpisodeData::record::3::cell::diag","containsRC","{}"
"DatasetArtifact|D7_NormalizedEpisodeData","StepRun|asd_run_001::001::S5_normalise","wasGeneratedBy","{}"
"DatasetArtifact|D7_NormalizedEpisodeData","DatasetArtifact|D6_EnrichedEpisodeData","wasDerivedFrom","{}"
"PipelineRun|asd_run_001","StepRun|asd_run_001::002::S6_select_modelling_features","contains","{}"
"StepRun|asd_run_001::002::S6_select_modelling_features","Step|S6_select_modelling_features","executes","{}"
"StepRun|asd_run_001::002::S6_select_modelling_features","DatasetArtifact|D7_NormalizedEpisodeData","used","{}"
"DatasetArtifact|D8_ModellingDataset","DataRecordArtifact|D8_ModellingDataset::record::0","containsDR","{}"
"DataRecordArtifact|D8_ModellingDataset::record::0","DataCellArtifact|D8_ModellingDataset::record::0::cell::HR_norm","containsRC","{}"
"DataRecordArtifact|D8_ModellingDataset::record::0","DataCellArtifact|D8_ModellingDataset::record::0::cell::EDA_norm","containsRC","{}"
"DataRecordArtifact|D8_ModellingDataset::record::0","DataCellArtifact|D8_ModellingDataset::record::0::cell::ACC_norm","containsRC","{}"
"DataRecordArtifact|D8_ModellingDataset::record::0","DataCellArtifact|D8_ModellingDataset::record::0::cell::chall_behav","containsRC","{}"
"DataRecordArtifact|D8_ModellingDataset::record::0","DataCellArtifact|D8_ModellingDataset::record::0::cell::sev","containsRC","{}"
"DataRecordArtifact|D8_ModellingDataset::record::0","DataCellArtifact|D8_ModellingDataset::record::0::cell::age_grp","containsRC","{}"
"DataRecordArtifact|D8_ModellingDataset::record::0","DataCellArtifact|D8_ModellingDataset::record::0::cell::sex","containsRC","{}"
"DatasetArtifact|D8_ModellingDataset","DataRecordArtifact|D8_ModellingDataset::record::1","containsDR","{}"
"DataRecordArtifact|D8_ModellingDataset::record::1","DataCellArtifact|D8_ModellingDataset::record::1::cell::HR_norm","containsRC","{}"
"DataRecordArtifact|D8_ModellingDataset::record::1","DataCellArtifact|D8_ModellingDataset::record::1::cell::EDA_norm","containsRC","{}"
"DataRecordArtifact|D8_ModellingDataset::record::1","DataCellArtifact|D8_ModellingDataset::record::1::cell::ACC_norm","containsRC","{}"
"DataRecordArtifact|D8_ModellingDataset::record::1","DataCellArtifact|D8_ModellingDataset::record::1::cell::chall_behav","containsRC","{}"
"DataRecordArtifact|D8_ModellingDataset::record::1","DataCellArtifact|D8_ModellingDataset::record::1::cell::sev","containsRC","{}"
"DataRecordArtifact|D8_ModellingDataset::record::1","DataCellArtifact|D8_ModellingDataset::record::1::cell::age_grp","containsRC","{}"
"DataRecordArtifact|D8_ModellingDataset::record::1","DataCellArtifact|D8_ModellingDataset::record::1::cell::sex","containsRC","{}"
"DatasetArtifact|D8_ModellingDataset","DataRecordArtifact|D8_ModellingDataset::record::2","containsDR","{}"
"DataRecordArtifact|D8_ModellingDataset::record::2","DataCellArtifact|D8_ModellingDataset::record::2::cell::HR_norm","containsRC","{}"
"DataRecordArtifact|D8_ModellingDataset::record::2","DataCellArtifact|D8_ModellingDataset::record::2::cell::EDA_norm","containsRC","{}"
"DataRecordArtifact|D8_ModellingDataset::record::2","DataCellArtifact|D8_ModellingDataset::record::2::cell::ACC_norm","containsRC","{}"
"DataRecordArtifact|D8_ModellingDataset::record::2","DataCellArtifact|D8_ModellingDataset::record::2::cell::chall_behav","containsRC","{}"
"DataRecordArtifact|D8_ModellingDataset::record::2","DataCellArtifact|D8_ModellingDataset::record::2::cell::sev","containsRC","{}"
"DataRecordArtifact|D8_ModellingDataset::record::2","DataCellArtifact|D8_ModellingDataset::record::2::cell::age_grp","containsRC","{}"
"DataRecordArtifact|D8_ModellingDataset::record::2","DataCellArtifact|D8_ModellingDataset::record::2::cell::sex","containsRC","{}"
"DatasetArtifact|D8_ModellingDataset","DataRecordArtifact|D8_ModellingDataset::record::3","containsDR","{}"
"DataRecordArtifact|D8_ModellingDataset::record::3","DataCellArtifact|D8_ModellingDataset::record::3::cell::HR_norm","containsRC","{}"
"DataRecordArtifact|D8_ModellingDataset::record::3","DataCellArtifact|D8_ModellingDataset::record::3::cell::EDA_norm","containsRC","{}"
"DataRecordArtifact|D8_ModellingDataset::record::3","DataCellArtifact|D8_ModellingDataset::record::3::cell::ACC_norm","containsRC","{}"
"DataRecordArtifact|D8_ModellingDataset::record::3","DataCellArtifact|D8_ModellingDataset::record::3::cell::chall_behav","containsRC","{}"
"DataRecordArtifact|D8_ModellingDataset::record::3","DataCellArtifact|D8_ModellingDataset::record::3::cell::sev","containsRC","{}"
"DataRecordArtifact|D8_ModellingDataset::record::3","DataCellArtifact|D8_ModellingDataset::record::3::cell::age_grp","containsRC","{}"
"DataRecordArtifact|D8_ModellingDataset::record::3","DataCellArtifact|D8_ModellingDataset::record::3::cell::sex","containsRC","{}"
"DatasetArtifact|D8_ModellingDataset","StepRun|asd_run_001::002::S6_select_modelling_features","wasGeneratedBy","{}"
"DatasetArtifact|D8_ModellingDataset","DatasetArtifact|D7_NormalizedEpisodeData","wasDerivedFrom","{}"
"PipelineRun|asd_run_001","StepRun|asd_run_001::003::S7_split_train_test","contains","{}"
"StepRun|asd_run_001::003::S7_split_train_test","Step|S7_split_train_test","executes","{}"
"StepRun|asd_run_001::003::S7_split_train_test","DatasetArtifact|D8_ModellingDataset","used","{}"
"DatasetArtifact|D9_TrainDataset","DataRecordArtifact|D9_TrainDataset::record::0","containsDR","{}"
"DataRecordArtifact|D9_TrainDataset::record::0","DataCellArtifact|D9_TrainDataset::record::0::cell::HR_norm","containsRC","{}"
"DataRecordArtifact|D9_TrainDataset::record::0","DataCellArtifact|D9_TrainDataset::record::0::cell::EDA_norm","containsRC","{}"
"DataRecordArtifact|D9_TrainDataset::record::0","DataCellArtifact|D9_TrainDataset::record::0::cell::ACC_norm","containsRC","{}"
"DataRecordArtifact|D9_TrainDataset::record::0","DataCellArtifact|D9_TrainDataset::record::0::cell::chall_behav","containsRC","{}"
"DataRecordArtifact|D9_TrainDataset::record::0","DataCellArtifact|D9_TrainDataset::record::0::cell::sev","containsRC","{}"
"DataRecordArtifact|D9_TrainDataset::record::0","DataCellArtifact|D9_TrainDataset::record::0::cell::age_grp","containsRC","{}"
"DataRecordArtifact|D9_TrainDataset::record::0","DataCellArtifact|D9_TrainDataset::record::0::cell::sex","containsRC","{}"
"DatasetArtifact|D9_TrainDataset","DataRecordArtifact|D9_TrainDataset::record::1","containsDR","{}"
"DataRecordArtifact|D9_TrainDataset::record::1","DataCellArtifact|D9_TrainDataset::record::1::cell::HR_norm","containsRC","{}"
"DataRecordArtifact|D9_TrainDataset::record::1","DataCellArtifact|D9_TrainDataset::record::1::cell::EDA_norm","containsRC","{}"
"DataRecordArtifact|D9_TrainDataset::record::1","DataCellArtifact|D9_TrainDataset::record::1::cell::ACC_norm","containsRC","{}"
"DataRecordArtifact|D9_TrainDataset::record::1","DataCellArtifact|D9_TrainDataset::record::1::cell::chall_behav","containsRC","{}"
"DataRecordArtifact|D9_TrainDataset::record::1","DataCellArtifact|D9_TrainDataset::record::1::cell::sev","containsRC","{}"
"DataRecordArtifact|D9_TrainDataset::record::1","DataCellArtifact|D9_TrainDataset::record::1::cell::age_grp","containsRC","{}"
"DataRecordArtifact|D9_TrainDataset::record::1","DataCellArtifact|D9_TrainDataset::record::1::cell::sex","containsRC","{}"
"DatasetArtifact|D9_TrainDataset","StepRun|asd_run_001::003::S7_split_train_test","wasGeneratedBy","{}"
"DatasetArtifact|D9_TrainDataset","DatasetArtifact|D8_ModellingDataset","wasDerivedFrom","{}"
"DatasetArtifact|D10_TestDataset","DataRecordArtifact|D10_TestDataset::record::2","containsDR","{}"
"DataRecordArtifact|D10_TestDataset::record::2","DataCellArtifact|D10_TestDataset::record::2::cell::HR_norm","containsRC","{}"
"DataRecordArtifact|D10_TestDataset::record::2","DataCellArtifact|D10_TestDataset::record::2::cell::EDA_norm","containsRC","{}"
"DataRecordArtifact|D10_TestDataset::record::2","DataCellArtifact|D10_TestDataset::record::2::cell::ACC_norm","containsRC","{}"
"DataRecordArtifact|D10_TestDataset::record::2","DataCellArtifact|D10_TestDataset::record::2::cell::chall_behav","containsRC","{}"
"DataRecordArtifact|D10_TestDataset::record::2","DataCellArtifact|D10_TestDataset::record::2::cell::sev","containsRC","{}"
"DataRecordArtifact|D10_TestDataset::record::2","DataCellArtifact|D10_TestDataset::record::2::cell::age_grp","containsRC","{}"
"DataRecordArtifact|D10_TestDataset::record::2","DataCellArtifact|D10_TestDataset::record::2::cell::sex","containsRC","{}"
"DatasetArtifact|D10_TestDataset","DataRecordArtifact|D10_TestDataset::record::3","containsDR","{}"
"DataRecordArtifact|D10_TestDataset::record::3","DataCellArtifact|D10_TestDataset::record::3::cell::HR_norm","containsRC","{}"
"DataRecordArtifact|D10_TestDataset::record::3","DataCellArtifact|D10_TestDataset::record::3::cell::EDA_norm","containsRC","{}"
"DataRecordArtifact|D10_TestDataset::record::3","DataCellArtifact|D10_TestDataset::record::3::cell::ACC_norm","containsRC","{}"
"DataRecordArtifact|D10_TestDataset::record::3","DataCellArtifact|D10_TestDataset::record::3::cell::chall_behav","containsRC","{}"
"DataRecordArtifact|D10_TestDataset::record::3","DataCellArtifact|D10_TestDataset::record::3::cell::sev","containsRC","{}"
"DataRecordArtifact|D10_TestDataset::record::3","DataCellArtifact|D10_TestDataset::record::3::cell::age_grp","containsRC","{}"
"DataRecordArtifact|D10_TestDataset::record::3","DataCellArtifact|D10_TestDataset::record::3::cell::sex","containsRC","{}"
"DatasetArtifact|D10_TestDataset","StepRun|asd_run_001::003::S7_split_train_test","wasGeneratedBy","{}"
"DatasetArtifact|D10_TestDataset","DatasetArtifact|D8_ModellingDataset","wasDerivedFrom","{}"
"PipelineRun|asd_run_001","StepRun|asd_run_001::004::S8_train_classifier","contains","{}"
"StepRun|asd_run_001::004::S8_train_classifier","Step|S8_train_classifier","executes","{}"
"StepRun|asd_run_001::004::S8_train_classifier","DatasetArtifact|D9_TrainDataset","used","{}"
"ModelArtifact|M1_ChallengingBehaviourClassifier","StepRun|asd_run_001::004::S8_train_classifier","wasGeneratedBy","{}"
"ModelArtifact|M1_ChallengingBehaviourClassifier","DatasetArtifact|D9_TrainDataset","wasDerivedFrom","{}"
"SensitivityCategory|biometric","SensitivityCategory|sensitive_personal_data","implies","{}"
"SensitivityCategory|health","SensitivityCategory|sensitive_personal_data","implies","{}"
"SensitivityCategory|behavioural_sensitive","SensitivityCategory|sensitive_personal_data","implies","{}"
"SensitivityCategory|direct_identifier","SensitivityCategory|identifier","implies","{}"
"SensitivityCategory|pseudonymous_identifier","SensitivityCategory|identifier","implies","{}"
"SensitivityCategory|temporal_quasi_identifier","SensitivityCategory|quasi_identifier","implies","{}"
"SensitivityCategory|organisational_context","SensitivityCategory|quasi_identifier","implies","{}"
"PrivacyAnnotation|PA::DatasetArtifact::D6_EnrichedEpisodeData::0001","DatasetArtifact|D6_EnrichedEpisodeData","annotates","{}"
"PrivacyAnnotation|PA::DatasetArtifact::D6_EnrichedEpisodeData::0001","SensitivityCategory|direct_identifier","hasCategory","{""explicit"": true}"
"PrivacyAnnotation|PA::DatasetArtifact::D6_EnrichedEpisodeData::0001","SensitivityCategory|temporal_quasi_identifier","hasCategory","{""explicit"": true}"
"PrivacyAnnotation|PA::DatasetArtifact::D6_EnrichedEpisodeData::0001","SensitivityCategory|quasi_identifier","hasCategory","{""explicit"": true}"
"PrivacyAnnotation|PA::DatasetArtifact::D6_EnrichedEpisodeData::0001","SensitivityCategory|biometric","hasCategory","{""explicit"": true}"
"PrivacyAnnotation|PA::DatasetArtifact::D6_EnrichedEpisodeData::0001","SensitivityCategory|health","hasCategory","{""explicit"": true}"
"PrivacyAnnotation|PA::DatasetArtifact::D6_EnrichedEpisodeData::0001","SensitivityCategory|behavioural_sensor_data","hasCategory","{""explicit"": true}"
"PrivacyAnnotation|PA::DatasetArtifact::D6_EnrichedEpisodeData::0001","SensitivityCategory|behavioural_sensitive","hasCategory","{""explicit"": true}"
"PrivacyAnnotation|PA::DatasetArtifact::D6_EnrichedEpisodeData::0001","SensitivityCategory|organisational_context","hasCategory","{""explicit"": true}"
"PrivacyAnnotation|PA::DatasetArtifact::D6_EnrichedEpisodeData::0001","SensitivityCategory|reidentification_risk","hasCategory","{""explicit"": true}"
"PrivacyAnnotation|PA::DatasetArtifact::D6_EnrichedEpisodeData::0001","SensitivityCategory|identifier","hasCategory","{""explicit"": false}"
"PrivacyAnnotation|PA::DatasetArtifact::D6_EnrichedEpisodeData::0001","SensitivityCategory|sensitive_personal_data","hasCategory","{""explicit"": false}"
"PrivacyAnnotation|PA::DatasetArtifact::D6_EnrichedEpisodeData::0001","UsageConstraint|clinical_research","hasUsage","{}"
"PrivacyAnnotation|PA::DatasetArtifact::D6_EnrichedEpisodeData::0001","ErasureConstraint|delete_on_request","hasErasure","{}"
"PrivacyAnnotation|PA::DatasetArtifact::D6_EnrichedEpisodeData::0001","ErasureConstraint|retention_5y","hasErasure","{}"
"PrivacyAnnotation|PA::DatasetArtifact::D6_EnrichedEpisodeData::0001","AccessRole|CL","allowsRole","{}"
"PrivacyAnnotation|PA::DatasetArtifact::D6_EnrichedEpisodeData::0001","AccessRole|DPO","allowsRole","{}"
