"ID","LABEL","key","props_json"
"Pipeline|german_credit_pipeline","Pipeline","german_credit_pipeline","{""key"": ""german_credit_pipeline"", ""name"": ""german_credit_pipeline""}"
"DataCellArtifact|D0_GermanRaw::record::0::cell::installment_rate","DataCellArtifact","D0_GermanRaw::record::0::cell::installment_rate","{""key"": ""D0_GermanRaw::record::0::cell::installment_rate"", ""record_id"": ""0"", ""dataset_id"": ""D0_GermanRaw"", ""attribute"": ""installment_rate"", ""value"": 4, ""dtype"": ""int64"", ""artifact_kind"": ""DataCellArtifact"", ""privacy_categories"": [""financial_sensitive"", ""sensitive_personal_data""], ""privacy_categories_explicit"": [""financial_sensitive""], ""privacy_usages"": [""research"", ""credit_risk_research""], ""privacy_erasures"": [""delete_on_request"", ""retention_5y""], ""privacy_roles"": [""DS"", ""AU"", ""DPO""], ""privacy_annotation_sources"": [""manual""]}"
"DataCellArtifact|D0_GermanRaw::record::0::cell::personal_status","DataCellArtifact","D0_GermanRaw::record::0::cell::personal_status","{""key"": ""D0_GermanRaw::record::0::cell::personal_status"", ""record_id"": ""0"", ""dataset_id"": ""D0_GermanRaw"", ""attribute"": ""personal_status"", ""value"": ""A93"", ""dtype"": ""str"", ""artifact_kind"": ""DataCellArtifact"", ""privacy_categories"": [""demographic"", ""gender"", ""protected_attribute"", ""quasi_identifier"", ""personal_data"", ""sensitive_personal_data""], ""privacy_categories_explicit"": [""demographic"", ""gender"", ""protected_attribute"", ""quasi_identifier""], ""privacy_usages"": [""research"", ""credit_risk_research""], ""privacy_erasures"": [""delete_on_request"", ""retention_5y""], ""privacy_roles"": [""DS"", ""AU"", ""DPO""], ""privacy_annotation_sources"": [""manual""]}"
"DataCellArtifact|D0_GermanRaw::record::0::cell::other_debtors","DataCellArtifact","D0_GermanRaw::record::0::cell::other_debtors","{""key"": ""D0_GermanRaw::record::0::cell::other_debtors"", ""record_id"": ""0"", ""dataset_id"": ""D0_GermanRaw"", ""attribute"": ""other_debtors"", ""value"": ""A101"", ""dtype"": ""str"", ""artifact_kind"": ""DataCellArtifact"", ""privacy_categories"": [""financial_sensitive"", ""sensitive_personal_data""], ""privacy_categories_explicit"": [""financial_sensitive""], ""privacy_usages"": [""research"", ""credit_risk_research""], ""privacy_erasures"": [""delete_on_request"", ""retention_5y""], ""privacy_roles"": [""DS"", ""AU"", ""DPO""], ""privacy_annotation_sources"": [""manual""]}"
"DataCellArtifact|D0_GermanRaw::record::0::cell::residence_since","DataCellArtifact","D0_GermanRaw::record::0::cell::residence_since","{""key"": ""D0_GermanRaw::record::0::cell::residence_since"", ""record_id"": ""0"", ""dataset_id"": ""D0_GermanRaw"", ""attribute"": ""residence_since"", ""value"": 4, ""dtype"": ""int64"", ""artifact_kind"": ""DataCellArtifact"", ""privacy_categories"": [""quasi_identifier"", ""personal_data""], ""privacy_categories_explicit"": [""quasi_identifier""], ""privacy_usages"": [""research"", ""credit_risk_research""], ""privacy_erasures"": [""delete_on_request"", ""retention_5y""], ""privacy_roles"": [""DS"", ""AU"", ""DPO""], ""privacy_annotation_sources"": [""manual""]}"
"DataCellArtifact|D0_GermanRaw::record::0::cell::property","DataCellArtifact","D0_GermanRaw::record::0::cell::property","{""key"": ""D0_GermanRaw::record::0::cell::property"", ""record_id"": ""0"", ""dataset_id"": ""D0_GermanRaw"", ""attribute"": ""property"", ""value"": ""A121"", ""dtype"": ""str"", ""artifact_kind"": ""DataCellArtifact"", ""privacy_categories"": [""financial_sensitive"", ""socio_economic"", ""sensitive_personal_data""], ""privacy_categories_explicit"": [""financial_sensitive"", ""socio_economic""], ""privacy_usages"": [""research"", ""credit_risk_research""], ""privacy_erasures"": [""delete_on_request"", ""retention_5y""], ""privacy_roles"": [""DS"", ""AU"", ""DPO""], ""privacy_annotation_sources"": [""manual""]}"
"DataCellArtifact|D0_GermanRaw::record::0::cell::age","DataCellArtifact","D0_GermanRaw::record::0::cell::age","{""key"": ""D0_GermanRaw::record::0::cell::age"", ""record_id"": ""0"", ""dataset_id"": ""D0_GermanRaw"", ""attribute"": ""age"", ""value"": 67, ""dtype"": ""int64"", ""artifact_kind"": ""DataCellArtifact"", ""privacy_categories"": [""quasi_identifier"", ""personal_data""], ""privacy_categories_explicit"": [""quasi_identifier""], ""privacy_usages"": [""research"", ""credit_risk_research""], ""privacy_erasures"": [""delete_on_request"", ""retention_5y""], ""privacy_roles"": [""DS"", ""AU"", ""DPO""], ""privacy_annotation_sources"": [""manual""]}"
"DataCellArtifact|D0_GermanRaw::record::0::cell::other_inst","DataCellArtifact","D0_GermanRaw::record::0::cell::other_inst","{""key"": ""D0_GermanRaw::record::0::cell::other_inst"", ""record_id"": ""0"", ""dataset_id"": ""D0_GermanRaw"", ""attribute"": ""other_inst"", ""value"": ""A143"", ""dtype"": ""str"", ""artifact_kind"": ""DataCellArtifact"", ""privacy_categories"": [""financial_sensitive"", ""sensitive_personal_data""], ""privacy_categories_explicit"": [""financial_sensitive""], ""privacy_usages"": [""research"", ""credit_risk_research""], ""privacy_erasures"": [""delete_on_request"", ""retention_5y""], ""privacy_roles"": [""DS"", ""AU"", ""DPO""], ""privacy_annotation_sources"": [""manual""]}"
"DataCellArtifact|D0_GermanRaw::record::0::cell::housing","DataCellArtifact","D0_GermanRaw::record::0::cell::housing","{""key"": ""D0_GermanRaw::record::0::cell::housing"", ""record_id"": ""0"", ""dataset_id"": ""D0_GermanRaw"", ""attribute"": ""housing"", ""value"": ""A152"", ""dtype"": ""str"", ""artifact_kind"": ""DataCellArtifact"", ""privacy_categories"": [""socio_economic"", ""quasi_identifier"", ""personal_data""], ""privacy_categories_explicit"": [""socio_economic"", ""quasi_identifier""], ""privacy_usages"": [""research"", ""credit_risk_research""], ""privacy_erasures"": [""delete_on_request"", ""retention_5y""], ""privacy_roles"": [""DS"", ""AU"", ""DPO""], ""privacy_annotation_sources"": [""manual""]}"
"DataCellArtifact|D0_GermanRaw::record::0::cell::existing_credits","DataCellArtifact","D0_GermanRaw::record::0::cell::existing_credits","{""key"": ""D0_GermanRaw::record::0::cell::existing_credits"", ""record_id"": ""0"", ""dataset_id"": ""D0_GermanRaw"", ""attribute"": ""existing_credits"", ""value"": 2, ""dtype"": ""int64"", ""artifact_kind"": ""DataCellArtifact"", ""privacy_categories"": [""financial_sensitive"", ""sensitive_personal_data""], ""privacy_categories_explicit"": [""financial_sensitive""], ""privacy_usages"": [""research"", ""credit_risk_research""], ""privacy_erasures"": [""delete_on_request"", ""retention_5y""], ""privacy_roles"": [""DS"", ""AU"", ""DPO""], ""privacy_annotation_sources"": [""manual""]}"
"DataCellArtifact|D0_GermanRaw::record::0::cell::job","DataCellArtifact","D0_GermanRaw::record::0::cell::job","{""key"": ""D0_GermanRaw::record::0::cell::job"", ""record_id"": ""0"", ""dataset_id"": ""D0_GermanRaw"", ""attribute"": ""job"", ""value"": ""A173"", ""dtype"": ""str"", ""artifact_kind"": ""DataCellArtifact"", ""privacy_categories"": [""employment_sensitive"", ""socio_economic"", ""personal_data""], ""privacy_categories_explicit"": [""employment_sensitive"", ""socio_economic""], ""privacy_usages"": [""research"", ""credit_risk_research""], ""privacy_erasures"": [""delete_on_request"", ""retention_5y""], ""privacy_roles"": [""DS"", ""AU"", ""DPO""], ""privacy_annotation_sources"": [""manual""]}"
"DataCellArtifact|D0_GermanRaw::record::0::cell::people_liable","DataCellArtifact","D0_GermanRaw::record::0::cell::people_liable","{""key"": ""D0_GermanRaw::record::0::cell::people_liable"", ""record_id"": ""0"", ""dataset_id"": ""D0_GermanRaw"", ""attribute"": ""people_liable"", ""value"": 1, ""dtype"": ""int64"", ""artifact_kind"": ""DataCellArtifact"", ""privacy_categories"": [""demographic"", ""quasi_identifier"", ""personal_data""], ""privacy_categories_explicit"": [""demographic"", ""quasi_identifier""], ""privacy_usages"": [""research"", ""credit_risk_research""], ""privacy_erasures"": [""delete_on_request"", ""retention_5y""], ""privacy_roles"": [""DS"", ""AU"", ""DPO""], ""privacy_annotation_sources"": [""manual""]}"
"DataCellArtifact|D0_GermanRaw::record::0::cell::phone","DataCellArtifact","D0_GermanRaw::record::0::cell::phone","{""key"": ""D0_GermanRaw::record::0::cell::phone"", ""record_id"": ""0"", ""dataset_id"": ""D0_GermanRaw"", ""attribute"": ""phone"", ""value"": ""A192"", ""dtype"": ""str"", ""artifact_kind"": ""DataCellArtifact"", ""privacy_categories"": [""contact_indicator"", ""quasi_identifier"", ""personal_data""], ""privacy_categories_explicit"": [""contact_indicator"", ""quasi_identifier""], ""privacy_usages"": [""research"", ""credit_risk_research""], ""privacy_erasures"": [""delete_on_request"", ""retention_5y""], ""privacy_roles"": [""DS"", ""AU"", ""DPO""], ""privacy_annotation_sources"": [""manual""]}"
"DataCellArtifact|D0_GermanRaw::record::0::cell::foreigner","DataCellArtifact","D0_GermanRaw::record::0::cell::foreigner","{""key"": ""D0_GermanRaw::record::0::cell::foreigner"", ""record_id"": ""0"", ""dataset_id"": ""D0_GermanRaw"", ""attribute"": ""foreigner"", ""value"": ""A201"", ""dtype"": ""str"", ""artifact_kind"": ""DataCellArtifact"", ""privacy_categories"": [""nationality_sensitive"", ""protected_attribute"", ""sensitive_personal_data""], ""privacy_categories_explicit"": [""nationality_sensitive"", ""protected_attribute""], ""privacy_usages"": [""research"", ""credit_risk_research""], ""privacy_erasures"": [""delete_on_request"", ""retention_5y""], ""privacy_roles"": [""DS"", ""AU"", ""DPO""], ""privacy_annotation_sources"": [""manual""]}"
"DataCellArtifact|D0_GermanRaw::record::0::cell::label","DataCellArtifact","D0_GermanRaw::record::0::cell::label","{""key"": ""D0_GermanRaw::record::0::cell::label"", ""record_id"": ""0"", ""dataset_id"": ""D0_GermanRaw"", ""attribute"": ""label"", ""value"": 1, ""dtype"": ""int64"", ""artifact_kind"": ""DataCellArtifact"", ""privacy_categories"": [""financial_sensitive"", ""creditworthiness_sensitive"", ""sensitive_personal_data""], ""privacy_categories_explicit"": [""financial_sensitive"", ""creditworthiness_sensitive""], ""privacy_usages"": [""research"", ""credit_risk_research""], ""privacy_erasures"": [""delete_on_request"", ""retention_5y""], ""privacy_roles"": [""DS"", ""AU"", ""DPO""], ""privacy_annotation_sources"": [""manual""]}"
"DataRecordArtifact|D0_GermanRaw::record::1","DataRecordArtifact","D0_GermanRaw::record::1","{""key"": ""D0_GermanRaw::record::1"", ""record_id"": ""1"", ""dataset_id"": ""D0_GermanRaw"", ""artifact_kind"": ""DataRecordArtifact"", ""privacy_categories"": [], ""privacy_categories_explicit"": [], ""privacy_usages"": [""research"", ""credit_risk_research""], ""privacy_erasures"": [""delete_on_request"", ""retention_5y""], ""privacy_roles"": [""DS"", ""AU"", ""DPO""], ""privacy_annotation_sources"": [""manual""]}"
"DataCellArtifact|D0_GermanRaw::record::1::cell::checking","DataCellArtifact","D0_GermanRaw::record::1::cell::checking","{""key"": ""D0_GermanRaw::record::1::cell::checking"", ""record_id"": ""1"", ""dataset_id"": ""D0_GermanRaw"", ""attribute"": ""checking"", ""value"": ""A12"", ""dtype"": ""str"", ""artifact_kind"": ""DataCellArtifact"", ""privacy_categories"": [""financial_sensitive"", ""sensitive_personal_data""], ""privacy_categories_explicit"": [""financial_sensitive""], ""privacy_usages"": [""research"", ""credit_risk_research""], ""privacy_erasures"": [""delete_on_request"", ""retention_5y""], ""privacy_roles"": [""DS"", ""AU"", ""DPO""], ""privacy_annotation_sources"": [""manual""]}"
"DataCellArtifact|D0_GermanRaw::record::1::cell::duration","DataCellArtifact","D0_GermanRaw::record::1::cell::duration","{""key"": ""D0_GermanRaw::record::1::cell::duration"", ""record_id"": ""1"", ""dataset_id"": ""D0_GermanRaw"", ""attribute"": ""duration"", ""value"": 48, ""dtype"": ""int64"", ""artifact_kind"": ""DataCellArtifact"", ""privacy_categories"": [""financial_sensitive"", ""sensitive_personal_data""], ""privacy_categories_explicit"": [""financial_sensitive""], ""privacy_usages"": [""research"", ""credit_risk_research""], ""privacy_erasures"": [""delete_on_request"", ""retention_5y""], ""privacy_roles"": [""DS"", ""AU"", ""DPO""], ""privacy_annotation_sources"": [""manual""]}"
"DataCellArtifact|D0_GermanRaw::record::1::cell::credit_history","DataCellArtifact","D0_GermanRaw::record::1::cell::credit_history","{""key"": ""D0_GermanRaw::record::1::cell::credit_history"", ""record_id"": ""1"", ""dataset_id"": ""D0_GermanRaw"", ""attribute"": ""credit_history"", ""value"": ""A32"", ""dtype"": ""str"", ""artifact_kind"": ""DataCellArtifact"", ""privacy_categories"": [""financial_sensitive"", ""credit_history_sensitive"", ""sensitive_personal_data""], ""privacy_categories_explicit"": [""financial_sensitive"", ""credit_history_sensitive""], ""privacy_usages"": [""research"", ""credit_risk_research""], ""privacy_erasures"": [""delete_on_request"", ""retention_5y""], ""privacy_roles"": [""DS"", ""AU"", ""DPO""], ""privacy_annotation_sources"": [""manual""]}"
"DataCellArtifact|D0_GermanRaw::record::1::cell::purpose","DataCellArtifact","D0_GermanRaw::record::1::cell::purpose","{""key"": ""D0_GermanRaw::record::1::cell::purpose"", ""record_id"": ""1"", ""dataset_id"": ""D0_GermanRaw"", ""attribute"": ""purpose"", ""value"": ""A40"", ""dtype"": ""str"", ""artifact_kind"": ""DataCellArtifact"", ""privacy_categories"": [""financial_sensitive"", ""loan_purpose"", ""sensitive_personal_data""], ""privacy_categories_explicit"": [""financial_sensitive"", ""loan_purpose""], ""privacy_usages"": [""research"", ""credit_risk_research""], ""privacy_erasures"": [""delete_on_request"", ""retention_5y""], ""privacy_roles"": [""DS"", ""AU"", ""DPO""], ""privacy_annotation_sources"": [""manual""]}"
"DataCellArtifact|D0_GermanRaw::record::1::cell::amount","DataCellArtifact","D0_GermanRaw::record::1::cell::amount","{""key"": ""D0_GermanRaw::record::1::cell::amount"", ""record_id"": ""1"", ""dataset_id"": ""D0_GermanRaw"", ""attribute"": ""amount"", ""value"": 5951, ""dtype"": ""int64"", ""artifact_kind"": ""DataCellArtifact"", ""privacy_categories"": [""financial_sensitive"", ""sensitive_personal_data""], ""privacy_categories_explicit"": [""financial_sensitive""], ""privacy_usages"": [""research"", ""credit_risk_research""], ""privacy_erasures"": [""delete_on_request"", ""retention_5y""], ""privacy_roles"": [""DS"", ""AU"", ""DPO""], ""privacy_annotation_sources"": [""manual""]}"
"DataCellArtifact|D0_GermanRaw::record::1::cell::savings","DataCellArtifact","D0_GermanRaw::record::1::cell::savings","{""key"": ""D0_GermanRaw::record::1::cell::savings"", ""record_id"": ""1"", ""dataset_id"": ""D0_GermanRaw"", ""attribute"": ""savings"", ""value"": ""A61"", ""dtype"": ""str"", ""artifact_kind"": ""DataCellArtifact"", ""privacy_categories"": [""financial_sensitive"", ""sensitive_personal_data""], ""privacy_categories_explicit"": [""financial_sensitive""], ""privacy_usages"": [""research"", ""credit_risk_research""], ""privacy_erasures"": [""delete_on_request"", ""retention_5y""], ""privacy_roles"": [""DS"", ""AU"", ""DPO""], ""privacy_annotation_sources"": [""manual""]}"
"DataCellArtifact|D0_GermanRaw::record::1::cell::employment","DataCellArtifact","D0_GermanRaw::record::1::cell::employment","{""key"": ""D0_GermanRaw::record::1::cell::employment"", ""record_id"": ""1"", ""dataset_id"": ""D0_GermanRaw"", ""attribute"": ""employment"", ""value"": ""A73"", ""dtype"": ""str"", ""artifact_kind"": ""DataCellArtifact"", ""privacy_categories"": [""employment_sensitive"", ""socio_economic"", ""personal_data""], ""privacy_categories_explicit"": [""employment_sensitive"", ""socio_economic""], ""privacy_usages"": [""research"", ""credit_risk_research""], ""privacy_erasures"": [""delete_on_request"", ""retention_5y""], ""privacy_roles"": [""DS"", ""AU"", ""DPO""], ""privacy_annotation_sources"": [""manual""]}"
"DataCellArtifact|D0_GermanRaw::record::1::cell::installment_rate","DataCellArtifact","D0_GermanRaw::record::1::cell::installment_rate","{""key"": ""D0_GermanRaw::record::1::cell::installment_rate"", ""record_id"": ""1"", ""dataset_id"": ""D0_GermanRaw"", ""attribute"": ""installment_rate"", ""value"": 2, ""dtype"": ""int64"", ""artifact_kind"": ""DataCellArtifact"", ""privacy_categories"": [""financial_sensitive"", ""sensitive_personal_data""], ""privacy_categories_explicit"": [""financial_sensitive""], ""privacy_usages"": [""research"", ""credit_risk_research""], ""privacy_erasures"": [""delete_on_request"", ""retention_5y""], ""privacy_roles"": [""DS"", ""AU"", ""DPO""], ""privacy_annotation_sources"": [""manual""]}"
"DataCellArtifact|D0_GermanRaw::record::1::cell::personal_status","DataCellArtifact","D0_GermanRaw::record::1::cell::personal_status","{""key"": ""D0_GermanRaw::record::1::cell::personal_status"", ""record_id"": ""1"", ""dataset_id"": ""D0_GermanRaw"", ""attribute"": ""personal_status"", ""value"": ""A92"", ""dtype"": ""str"", ""artifact_kind"": ""DataCellArtifact"", ""privacy_categories"": [""demographic"", ""gender"", ""protected_attribute"", ""quasi_identifier"", ""personal_data"", ""sensitive_personal_data""], ""privacy_categories_explicit"": [""demographic"", ""gender"", ""protected_attribute"", ""quasi_identifier""], ""privacy_usages"": [""research"", ""credit_risk_research""], ""privacy_erasures"": [""delete_on_request"", ""retention_5y""], ""privacy_roles"": [""DS"", ""AU"", ""DPO""], ""privacy_annotation_sources"": [""manual""]}"
"DataCellArtifact|D0_GermanRaw::record::1::cell::other_debtors","DataCellArtifact","D0_GermanRaw::record::1::cell::other_debtors","{""key"": ""D0_GermanRaw::record::1::cell::other_debtors"", ""record_id"": ""1"", ""dataset_id"": ""D0_GermanRaw"", ""attribute"": ""other_debtors"", ""value"": ""A101"", ""dtype"": ""str"", ""artifact_kind"": ""DataCellArtifact"", ""privacy_categories"": [""financial_sensitive"", ""sensitive_personal_data""], ""privacy_categories_explicit"": [""financial_sensitive""], ""privacy_usages"": [""research"", ""credit_risk_research""], ""privacy_erasures"": [""delete_on_request"", ""retention_5y""], ""privacy_roles"": [""DS"", ""AU"", ""DPO""], ""privacy_annotation_sources"": [""manual""]}"
"DataCellArtifact|D0_GermanRaw::record::1::cell::residence_since","DataCellArtifact","D0_GermanRaw::record::1::cell::residence_since","{""key"": ""D0_GermanRaw::record::1::cell::residence_since"", ""record_id"": ""1"", ""dataset_id"": ""D0_GermanRaw"", ""attribute"": ""residence_since"", ""value"": 2, ""dtype"": ""int64"", ""artifact_kind"": ""DataCellArtifact"", ""privacy_categories"": [""quasi_identifier"", ""personal_data""], ""privacy_categories_explicit"": [""quasi_identifier""], ""privacy_usages"": [""research"", ""credit_risk_research""], ""privacy_erasures"": [""delete_on_request"", ""retention_5y""], ""privacy_roles"": [""DS"", ""AU"", ""DPO""], ""privacy_annotation_sources"": [""manual""]}"
"DataCellArtifact|D0_GermanRaw::record::1::cell::property","DataCellArtifact","D0_GermanRaw::record::1::cell::property","{""key"": ""D0_GermanRaw::record::1::cell::property"", ""record_id"": ""1"", ""dataset_id"": ""D0_GermanRaw"", ""attribute"": ""property"", ""value"": ""A121"", ""dtype"": ""str"", ""artifact_kind"": ""DataCellArtifact"", ""privacy_categories"": [""financial_sensitive"", ""socio_economic"", ""sensitive_personal_data""], ""privacy_categories_explicit"": [""financial_sensitive"", ""socio_economic""], ""privacy_usages"": [""research"", ""credit_risk_research""], ""privacy_erasures"": [""delete_on_request"", ""retention_5y""], ""privacy_roles"": [""DS"", ""AU"", ""DPO""], ""privacy_annotation_sources"": [""manual""]}"
"DataCellArtifact|D0_GermanRaw::record::1::cell::age","DataCellArtifact","D0_GermanRaw::record::1::cell::age","{""key"": ""D0_GermanRaw::record::1::cell::age"", ""record_id"": ""1"", ""dataset_id"": ""D0_GermanRaw"", ""attribute"": ""age"", ""value"": 22, ""dtype"": ""int64"", ""artifact_kind"": ""DataCellArtifact"", ""privacy_categories"": [""quasi_identifier"", ""personal_data""], ""privacy_categories_explicit"": [""quasi_identifier""], ""privacy_usages"": [""research"", ""credit_risk_research""], ""privacy_erasures"": [""delete_on_request"", ""retention_5y""], ""privacy_roles"": [""DS"", ""AU"", ""DPO""], ""privacy_annotation_sources"": [""manual""]}"
"DataCellArtifact|D0_GermanRaw::record::1::cell::other_inst","DataCellArtifact","D0_GermanRaw::record::1::cell::other_inst","{""key"": ""D0_GermanRaw::record::1::cell::other_inst"", ""record_id"": ""1"", ""dataset_id"": ""D0_GermanRaw"", ""attribute"": ""other_inst"", ""value"": ""A143"", ""dtype"": ""str"", ""artifact_kind"": ""DataCellArtifact"", ""privacy_categories"": [""financial_sensitive"", ""sensitive_personal_data""], ""privacy_categories_explicit"": [""financial_sensitive""], ""privacy_usages"": [""research"", ""credit_risk_research""], ""privacy_erasures"": [""delete_on_request"", ""retention_5y""], ""privacy_roles"": [""DS"", ""AU"", ""DPO""], ""privacy_annotation_sources"": [""manual""]}"
