"START_ID","END_ID","TYPE","props_json"
"PipelineRun|run_fc7d525c22","Pipeline|compas_recidivism_pipeline","executes","{}"
"DataRecordArtifact|D0_COMPASRaw::record::2","DataCellArtifact|D0_COMPASRaw::record::2::cell::days_b_screening_arrest","containsRC","{}"
"DataRecordArtifact|D0_COMPASRaw::record::2","DataCellArtifact|D0_COMPASRaw::record::2::cell::two_year_recid","containsRC","{}"
"DataRecordArtifact|D0_COMPASRaw::record::2","DataCellArtifact|D0_COMPASRaw::record::2::cell::c_jail_in","containsRC","{}"
"DataRecordArtifact|D0_COMPASRaw::record::2","DataCellArtifact|D0_COMPASRaw::record::2::cell::c_jail_out","containsRC","{}"
"DataRecordArtifact|D0_COMPASRaw::record::2","DataCellArtifact|D0_COMPASRaw::record::2::cell::irrelevant_col","containsRC","{}"
"DatasetArtifact|D0_COMPASRaw","DataRecordArtifact|D0_COMPASRaw::record::3","containsDR","{}"
"DataRecordArtifact|D0_COMPASRaw::record::3","DataCellArtifact|D0_COMPASRaw::record::3::cell::age","containsRC","{}"
"DataRecordArtifact|D0_COMPASRaw::record::3","DataCellArtifact|D0_COMPASRaw::record::3::cell::c_charge_degree","containsRC","{}"
"DataRecordArtifact|D0_COMPASRaw::record::3","DataCellArtifact|D0_COMPASRaw::record::3::cell::race","containsRC","{}"
"DataRecordArtifact|D0_COMPASRaw::record::3","DataCellArtifact|D0_COMPASRaw::record::3::cell::sex","containsRC","{}"
"DataRecordArtifact|D0_COMPASRaw::record::3","DataCellArtifact|D0_COMPASRaw::record::3::cell::priors_count","containsRC","{}"
"DataRecordArtifact|D0_COMPASRaw::record::3","DataCellArtifact|D0_COMPASRaw::record::3::cell::days_b_screening_arrest","containsRC","{}"
"DataRecordArtifact|D0_COMPASRaw::record::3","DataCellArtifact|D0_COMPASRaw::record::3::cell::two_year_recid","containsRC","{}"
"DataRecordArtifact|D0_COMPASRaw::record::3","DataCellArtifact|D0_COMPASRaw::record::3::cell::c_jail_in","containsRC","{}"
"DataRecordArtifact|D0_COMPASRaw::record::3","DataCellArtifact|D0_COMPASRaw::record::3::cell::c_jail_out","containsRC","{}"
"DataRecordArtifact|D0_COMPASRaw::record::3","DataCellArtifact|D0_COMPASRaw::record::3::cell::irrelevant_col","containsRC","{}"
"DatasetArtifact|D0_COMPASRaw","DataRecordArtifact|D0_COMPASRaw::record::4","containsDR","{}"
"DataRecordArtifact|D0_COMPASRaw::record::4","DataCellArtifact|D0_COMPASRaw::record::4::cell::age","containsRC","{}"
"DataRecordArtifact|D0_COMPASRaw::record::4","DataCellArtifact|D0_COMPASRaw::record::4::cell::c_charge_degree","containsRC","{}"
"DataRecordArtifact|D0_COMPASRaw::record::4","DataCellArtifact|D0_COMPASRaw::record::4::cell::race","containsRC","{}"
"DataRecordArtifact|D0_COMPASRaw::record::4","DataCellArtifact|D0_COMPASRaw::record::4::cell::sex","containsRC","{}"
"DataRecordArtifact|D0_COMPASRaw::record::4","DataCellArtifact|D0_COMPASRaw::record::4::cell::priors_count","containsRC","{}"
"DataRecordArtifact|D0_COMPASRaw::record::4","DataCellArtifact|D0_COMPASRaw::record::4::cell::days_b_screening_arrest","containsRC","{}"
"DataRecordArtifact|D0_COMPASRaw::record::4","DataCellArtifact|D0_COMPASRaw::record::4::cell::two_year_recid","containsRC","{}"
"DataRecordArtifact|D0_COMPASRaw::record::4","DataCellArtifact|D0_COMPASRaw::record::4::cell::c_jail_in","containsRC","{}"
"DataRecordArtifact|D0_COMPASRaw::record::4","DataCellArtifact|D0_COMPASRaw::record::4::cell::c_jail_out","containsRC","{}"
"DataRecordArtifact|D0_COMPASRaw::record::4","DataCellArtifact|D0_COMPASRaw::record::4::cell::irrelevant_col","containsRC","{}"
"DatasetArtifact|D0_COMPASRaw","DataRecordArtifact|D0_COMPASRaw::record::5","containsDR","{}"
"DataRecordArtifact|D0_COMPASRaw::record::5","DataCellArtifact|D0_COMPASRaw::record::5::cell::age","containsRC","{}"
"DataRecordArtifact|D0_COMPASRaw::record::5","DataCellArtifact|D0_COMPASRaw::record::5::cell::c_charge_degree","containsRC","{}"
"DataRecordArtifact|D0_COMPASRaw::record::5","DataCellArtifact|D0_COMPASRaw::record::5::cell::race","containsRC","{}"
"DataRecordArtifact|D0_COMPASRaw::record::5","DataCellArtifact|D0_COMPASRaw::record::5::cell::sex","containsRC","{}"
"DataRecordArtifact|D0_COMPASRaw::record::5","DataCellArtifact|D0_COMPASRaw::record::5::cell::priors_count","containsRC","{}"
"DataRecordArtifact|D0_COMPASRaw::record::5","DataCellArtifact|D0_COMPASRaw::record::5::cell::days_b_screening_arrest","containsRC","{}"
"DataRecordArtifact|D0_COMPASRaw::record::5","DataCellArtifact|D0_COMPASRaw::record::5::cell::two_year_recid","containsRC","{}"
"DataRecordArtifact|D0_COMPASRaw::record::5","DataCellArtifact|D0_COMPASRaw::record::5::cell::c_jail_in","containsRC","{}"
"DataRecordArtifact|D0_COMPASRaw::record::5","DataCellArtifact|D0_COMPASRaw::record::5::cell::c_jail_out","containsRC","{}"
"DataRecordArtifact|D0_COMPASRaw::record::5","DataCellArtifact|D0_COMPASRaw::record::5::cell::irrelevant_col","containsRC","{}"
"PipelineRun|run_fc7d525c22","StepRun|run_fc7d525c22::001::B0_select_columns","contains","{}"
"StepRun|run_fc7d525c22::001::B0_select_columns","Step|B0_select_columns","executes","{}"
"StepRun|run_fc7d525c22::001::B0_select_columns","DatasetArtifact|D0_COMPASRaw","used","{}"
"DatasetArtifact|D1_COMPASSelected","DataRecordArtifact|D1_COMPASSelected::record::0","containsDR","{}"
"DataRecordArtifact|D1_COMPASSelected::record::0","DataCellArtifact|D1_COMPASSelected::record::0::cell::age","containsRC","{}"
"DataRecordArtifact|D1_COMPASSelected::record::0","DataCellArtifact|D1_COMPASSelected::record::0::cell::c_charge_degree","containsRC","{}"
"DataRecordArtifact|D1_COMPASSelected::record::0","DataCellArtifact|D1_COMPASSelected::record::0::cell::race","containsRC","{}"
"DataRecordArtifact|D1_COMPASSelected::record::0","DataCellArtifact|D1_COMPASSelected::record::0::cell::sex","containsRC","{}"
"DataRecordArtifact|D1_COMPASSelected::record::0","DataCellArtifact|D1_COMPASSelected::record::0::cell::priors_count","containsRC","{}"
"DataRecordArtifact|D1_COMPASSelected::record::0","DataCellArtifact|D1_COMPASSelected::record::0::cell::days_b_screening_arrest","containsRC","{}"
"DataRecordArtifact|D1_COMPASSelected::record::0","DataCellArtifact|D1_COMPASSelected::record::0::cell::two_year_recid","containsRC","{}"
"DataRecordArtifact|D1_COMPASSelected::record::0","DataCellArtifact|D1_COMPASSelected::record::0::cell::c_jail_in","containsRC","{}"
"DataRecordArtifact|D1_COMPASSelected::record::0","DataCellArtifact|D1_COMPASSelected::record::0::cell::c_jail_out","containsRC","{}"
"DatasetArtifact|D1_COMPASSelected","DataRecordArtifact|D1_COMPASSelected::record::1","containsDR","{}"
"DataRecordArtifact|D1_COMPASSelected::record::1","DataCellArtifact|D1_COMPASSelected::record::1::cell::age","containsRC","{}"
"DataRecordArtifact|D1_COMPASSelected::record::1","DataCellArtifact|D1_COMPASSelected::record::1::cell::c_charge_degree","containsRC","{}"
"DataRecordArtifact|D1_COMPASSelected::record::1","DataCellArtifact|D1_COMPASSelected::record::1::cell::race","containsRC","{}"
"DataRecordArtifact|D1_COMPASSelected::record::1","DataCellArtifact|D1_COMPASSelected::record::1::cell::sex","containsRC","{}"
"DataRecordArtifact|D1_COMPASSelected::record::1","DataCellArtifact|D1_COMPASSelected::record::1::cell::priors_count","containsRC","{}"
"DataRecordArtifact|D1_COMPASSelected::record::1","DataCellArtifact|D1_COMPASSelected::record::1::cell::days_b_screening_arrest","containsRC","{}"
"DataRecordArtifact|D1_COMPASSelected::record::1","DataCellArtifact|D1_COMPASSelected::record::1::cell::two_year_recid","containsRC","{}"
"DataRecordArtifact|D1_COMPASSelected::record::1","DataCellArtifact|D1_COMPASSelected::record::1::cell::c_jail_in","containsRC","{}"
"DataRecordArtifact|D1_COMPASSelected::record::1","DataCellArtifact|D1_COMPASSelected::record::1::cell::c_jail_out","containsRC","{}"
"DatasetArtifact|D1_COMPASSelected","DataRecordArtifact|D1_COMPASSelected::record::2","containsDR","{}"
"DataRecordArtifact|D1_COMPASSelected::record::2","DataCellArtifact|D1_COMPASSelected::record::2::cell::age","containsRC","{}"
"DataRecordArtifact|D1_COMPASSelected::record::2","DataCellArtifact|D1_COMPASSelected::record::2::cell::c_charge_degree","containsRC","{}"
"DataRecordArtifact|D1_COMPASSelected::record::2","DataCellArtifact|D1_COMPASSelected::record::2::cell::race","containsRC","{}"
"DataRecordArtifact|D1_COMPASSelected::record::2","DataCellArtifact|D1_COMPASSelected::record::2::cell::sex","containsRC","{}"
"DataRecordArtifact|D1_COMPASSelected::record::2","DataCellArtifact|D1_COMPASSelected::record::2::cell::priors_count","containsRC","{}"
"DataRecordArtifact|D1_COMPASSelected::record::2","DataCellArtifact|D1_COMPASSelected::record::2::cell::days_b_screening_arrest","containsRC","{}"
"DataRecordArtifact|D1_COMPASSelected::record::2","DataCellArtifact|D1_COMPASSelected::record::2::cell::two_year_recid","containsRC","{}"
"DataRecordArtifact|D1_COMPASSelected::record::2","DataCellArtifact|D1_COMPASSelected::record::2::cell::c_jail_in","containsRC","{}"
"DataRecordArtifact|D1_COMPASSelected::record::2","DataCellArtifact|D1_COMPASSelected::record::2::cell::c_jail_out","containsRC","{}"
"DatasetArtifact|D1_COMPASSelected","DataRecordArtifact|D1_COMPASSelected::record::3","containsDR","{}"
"DataRecordArtifact|D1_COMPASSelected::record::3","DataCellArtifact|D1_COMPASSelected::record::3::cell::age","containsRC","{}"
"DataRecordArtifact|D1_COMPASSelected::record::3","DataCellArtifact|D1_COMPASSelected::record::3::cell::c_charge_degree","containsRC","{}"
"DataRecordArtifact|D1_COMPASSelected::record::3","DataCellArtifact|D1_COMPASSelected::record::3::cell::race","containsRC","{}"
"DataRecordArtifact|D1_COMPASSelected::record::3","DataCellArtifact|D1_COMPASSelected::record::3::cell::sex","containsRC","{}"
"DataRecordArtifact|D1_COMPASSelected::record::3","DataCellArtifact|D1_COMPASSelected::record::3::cell::priors_count","containsRC","{}"
"DataRecordArtifact|D1_COMPASSelected::record::3","DataCellArtifact|D1_COMPASSelected::record::3::cell::days_b_screening_arrest","containsRC","{}"
"DataRecordArtifact|D1_COMPASSelected::record::3","DataCellArtifact|D1_COMPASSelected::record::3::cell::two_year_recid","containsRC","{}"
"DataRecordArtifact|D1_COMPASSelected::record::3","DataCellArtifact|D1_COMPASSelected::record::3::cell::c_jail_in","containsRC","{}"
"DataRecordArtifact|D1_COMPASSelected::record::3","DataCellArtifact|D1_COMPASSelected::record::3::cell::c_jail_out","containsRC","{}"
"DatasetArtifact|D1_COMPASSelected","DataRecordArtifact|D1_COMPASSelected::record::4","containsDR","{}"
"DataRecordArtifact|D1_COMPASSelected::record::4","DataCellArtifact|D1_COMPASSelected::record::4::cell::age","containsRC","{}"
"DataRecordArtifact|D1_COMPASSelected::record::4","DataCellArtifact|D1_COMPASSelected::record::4::cell::c_charge_degree","containsRC","{}"
"DataRecordArtifact|D1_COMPASSelected::record::4","DataCellArtifact|D1_COMPASSelected::record::4::cell::race","containsRC","{}"
"DataRecordArtifact|D1_COMPASSelected::record::4","DataCellArtifact|D1_COMPASSelected::record::4::cell::sex","containsRC","{}"
"DataRecordArtifact|D1_COMPASSelected::record::4","DataCellArtifact|D1_COMPASSelected::record::4::cell::priors_count","containsRC","{}"
"DataRecordArtifact|D1_COMPASSelected::record::4","DataCellArtifact|D1_COMPASSelected::record::4::cell::days_b_screening_arrest","containsRC","{}"
"DataRecordArtifact|D1_COMPASSelected::record::4","DataCellArtifact|D1_COMPASSelected::record::4::cell::two_year_recid","containsRC","{}"
"DataRecordArtifact|D1_COMPASSelected::record::4","DataCellArtifact|D1_COMPASSelected::record::4::cell::c_jail_in","containsRC","{}"
"DataRecordArtifact|D1_COMPASSelected::record::4","DataCellArtifact|D1_COMPASSelected::record::4::cell::c_jail_out","containsRC","{}"
"DatasetArtifact|D1_COMPASSelected","DataRecordArtifact|D1_COMPASSelected::record::5","containsDR","{}"
"DataRecordArtifact|D1_COMPASSelected::record::5","DataCellArtifact|D1_COMPASSelected::record::5::cell::age","containsRC","{}"
"DataRecordArtifact|D1_COMPASSelected::record::5","DataCellArtifact|D1_COMPASSelected::record::5::cell::c_charge_degree","containsRC","{}"
"DataRecordArtifact|D1_COMPASSelected::record::5","DataCellArtifact|D1_COMPASSelected::record::5::cell::race","containsRC","{}"
"DataRecordArtifact|D1_COMPASSelected::record::5","DataCellArtifact|D1_COMPASSelected::record::5::cell::sex","containsRC","{}"
"DataRecordArtifact|D1_COMPASSelected::record::5","DataCellArtifact|D1_COMPASSelected::record::5::cell::priors_count","containsRC","{}"
"DataRecordArtifact|D1_COMPASSelected::record::5","DataCellArtifact|D1_COMPASSelected::record::5::cell::days_b_screening_arrest","containsRC","{}"
"DataRecordArtifact|D1_COMPASSelected::record::5","DataCellArtifact|D1_COMPASSelected::record::5::cell::two_year_recid","containsRC","{}"
"DataRecordArtifact|D1_COMPASSelected::record::5","DataCellArtifact|D1_COMPASSelected::record::5::cell::c_jail_in","containsRC","{}"
"DataRecordArtifact|D1_COMPASSelected::record::5","DataCellArtifact|D1_COMPASSelected::record::5::cell::c_jail_out","containsRC","{}"
"DatasetArtifact|D1_COMPASSelected","StepRun|run_fc7d525c22::001::B0_select_columns","wasGeneratedBy","{}"
"DatasetArtifact|D1_COMPASSelected","DatasetArtifact|D0_COMPASRaw","wasDerivedFrom","{}"
"PipelineRun|run_fc7d525c22","StepRun|run_fc7d525c22::002::B1_drop_missing","contains","{}"
"StepRun|run_fc7d525c22::002::B1_drop_missing","Step|B1_drop_missing","executes","{}"
"StepRun|run_fc7d525c22::002::B1_drop_missing","DatasetArtifact|D1_COMPASSelected","used","{}"
"DatasetArtifact|D2_COMPASNoMissing","DataRecordArtifact|D2_COMPASNoMissing::record::0","containsDR","{}"
"DataRecordArtifact|D2_COMPASNoMissing::record::0","DataCellArtifact|D2_COMPASNoMissing::record::0::cell::age","containsRC","{}"
"DataRecordArtifact|D2_COMPASNoMissing::record::0","DataCellArtifact|D2_COMPASNoMissing::record::0::cell::c_charge_degree","containsRC","{}"
"DataRecordArtifact|D2_COMPASNoMissing::record::0","DataCellArtifact|D2_COMPASNoMissing::record::0::cell::race","containsRC","{}"
"DataRecordArtifact|D2_COMPASNoMissing::record::0","DataCellArtifact|D2_COMPASNoMissing::record::0::cell::sex","containsRC","{}"
"DataRecordArtifact|D2_COMPASNoMissing::record::0","DataCellArtifact|D2_COMPASNoMissing::record::0::cell::priors_count","containsRC","{}"
"DataRecordArtifact|D2_COMPASNoMissing::record::0","DataCellArtifact|D2_COMPASNoMissing::record::0::cell::days_b_screening_arrest","containsRC","{}"
"DataRecordArtifact|D2_COMPASNoMissing::record::0","DataCellArtifact|D2_COMPASNoMissing::record::0::cell::two_year_recid","containsRC","{}"
"DataRecordArtifact|D2_COMPASNoMissing::record::0","DataCellArtifact|D2_COMPASNoMissing::record::0::cell::c_jail_in","containsRC","{}"
"DataRecordArtifact|D2_COMPASNoMissing::record::0","DataCellArtifact|D2_COMPASNoMissing::record::0::cell::c_jail_out","containsRC","{}"
"DatasetArtifact|D2_COMPASNoMissing","DataRecordArtifact|D2_COMPASNoMissing::record::1","containsDR","{}"
"DataRecordArtifact|D2_COMPASNoMissing::record::1","DataCellArtifact|D2_COMPASNoMissing::record::1::cell::age","containsRC","{}"
"DataRecordArtifact|D2_COMPASNoMissing::record::1","DataCellArtifact|D2_COMPASNoMissing::record::1::cell::c_charge_degree","containsRC","{}"
"DataRecordArtifact|D2_COMPASNoMissing::record::1","DataCellArtifact|D2_COMPASNoMissing::record::1::cell::race","containsRC","{}"
"DataRecordArtifact|D2_COMPASNoMissing::record::1","DataCellArtifact|D2_COMPASNoMissing::record::1::cell::sex","containsRC","{}"
"DataRecordArtifact|D2_COMPASNoMissing::record::1","DataCellArtifact|D2_COMPASNoMissing::record::1::cell::priors_count","containsRC","{}"
"DataRecordArtifact|D2_COMPASNoMissing::record::1","DataCellArtifact|D2_COMPASNoMissing::record::1::cell::days_b_screening_arrest","containsRC","{}"
"DataRecordArtifact|D2_COMPASNoMissing::record::1","DataCellArtifact|D2_COMPASNoMissing::record::1::cell::two_year_recid","containsRC","{}"
"DataRecordArtifact|D2_COMPASNoMissing::record::1","DataCellArtifact|D2_COMPASNoMissing::record::1::cell::c_jail_in","containsRC","{}"
"DataRecordArtifact|D2_COMPASNoMissing::record::1","DataCellArtifact|D2_COMPASNoMissing::record::1::cell::c_jail_out","containsRC","{}"
"DatasetArtifact|D2_COMPASNoMissing","DataRecordArtifact|D2_COMPASNoMissing::record::2","containsDR","{}"
"DataRecordArtifact|D2_COMPASNoMissing::record::2","DataCellArtifact|D2_COMPASNoMissing::record::2::cell::age","containsRC","{}"
"DataRecordArtifact|D2_COMPASNoMissing::record::2","DataCellArtifact|D2_COMPASNoMissing::record::2::cell::c_charge_degree","containsRC","{}"
"DataRecordArtifact|D2_COMPASNoMissing::record::2","DataCellArtifact|D2_COMPASNoMissing::record::2::cell::race","containsRC","{}"
"DataRecordArtifact|D2_COMPASNoMissing::record::2","DataCellArtifact|D2_COMPASNoMissing::record::2::cell::sex","containsRC","{}"
"DataRecordArtifact|D2_COMPASNoMissing::record::2","DataCellArtifact|D2_COMPASNoMissing::record::2::cell::priors_count","containsRC","{}"
"DataRecordArtifact|D2_COMPASNoMissing::record::2","DataCellArtifact|D2_COMPASNoMissing::record::2::cell::days_b_screening_arrest","containsRC","{}"
"DataRecordArtifact|D2_COMPASNoMissing::record::2","DataCellArtifact|D2_COMPASNoMissing::record::2::cell::two_year_recid","containsRC","{}"
"DataRecordArtifact|D2_COMPASNoMissing::record::2","DataCellArtifact|D2_COMPASNoMissing::record::2::cell::c_jail_in","containsRC","{}"
"DataRecordArtifact|D2_COMPASNoMissing::record::2","DataCellArtifact|D2_COMPASNoMissing::record::2::cell::c_jail_out","containsRC","{}"
"DatasetArtifact|D2_COMPASNoMissing","DataRecordArtifact|D2_COMPASNoMissing::record::4","containsDR","{}"
"DataRecordArtifact|D2_COMPASNoMissing::record::4","DataCellArtifact|D2_COMPASNoMissing::record::4::cell::age","containsRC","{}"
"DataRecordArtifact|D2_COMPASNoMissing::record::4","DataCellArtifact|D2_COMPASNoMissing::record::4::cell::c_charge_degree","containsRC","{}"
"DataRecordArtifact|D2_COMPASNoMissing::record::4","DataCellArtifact|D2_COMPASNoMissing::record::4::cell::race","containsRC","{}"
"DataRecordArtifact|D2_COMPASNoMissing::record::4","DataCellArtifact|D2_COMPASNoMissing::record::4::cell::sex","containsRC","{}"
"DataRecordArtifact|D2_COMPASNoMissing::record::4","DataCellArtifact|D2_COMPASNoMissing::record::4::cell::priors_count","containsRC","{}"
"DataRecordArtifact|D2_COMPASNoMissing::record::4","DataCellArtifact|D2_COMPASNoMissing::record::4::cell::days_b_screening_arrest","containsRC","{}"
"DataRecordArtifact|D2_COMPASNoMissing::record::4","DataCellArtifact|D2_COMPASNoMissing::record::4::cell::two_year_recid","containsRC","{}"
"DataRecordArtifact|D2_COMPASNoMissing::record::4","DataCellArtifact|D2_COMPASNoMissing::record::4::cell::c_jail_in","containsRC","{}"
"DataRecordArtifact|D2_COMPASNoMissing::record::4","DataCellArtifact|D2_COMPASNoMissing::record::4::cell::c_jail_out","containsRC","{}"
"DatasetArtifact|D2_COMPASNoMissing","DataRecordArtifact|D2_COMPASNoMissing::record::5","containsDR","{}"
"DataRecordArtifact|D2_COMPASNoMissing::record::5","DataCellArtifact|D2_COMPASNoMissing::record::5::cell::age","containsRC","{}"
"DataRecordArtifact|D2_COMPASNoMissing::record::5","DataCellArtifact|D2_COMPASNoMissing::record::5::cell::c_charge_degree","containsRC","{}"
"DataRecordArtifact|D2_COMPASNoMissing::record::5","DataCellArtifact|D2_COMPASNoMissing::record::5::cell::race","containsRC","{}"
"DataRecordArtifact|D2_COMPASNoMissing::record::5","DataCellArtifact|D2_COMPASNoMissing::record::5::cell::sex","containsRC","{}"
"DataRecordArtifact|D2_COMPASNoMissing::record::5","DataCellArtifact|D2_COMPASNoMissing::record::5::cell::priors_count","containsRC","{}"
"DataRecordArtifact|D2_COMPASNoMissing::record::5","DataCellArtifact|D2_COMPASNoMissing::record::5::cell::days_b_screening_arrest","containsRC","{}"
"DataRecordArtifact|D2_COMPASNoMissing::record::5","DataCellArtifact|D2_COMPASNoMissing::record::5::cell::two_year_recid","containsRC","{}"
"DataRecordArtifact|D2_COMPASNoMissing::record::5","DataCellArtifact|D2_COMPASNoMissing::record::5::cell::c_jail_in","containsRC","{}"
"DataRecordArtifact|D2_COMPASNoMissing::record::5","DataCellArtifact|D2_COMPASNoMissing::record::5::cell::c_jail_out","containsRC","{}"
"DatasetArtifact|D2_COMPASNoMissing","StepRun|run_fc7d525c22::002::B1_drop_missing","wasGeneratedBy","{}"
"DatasetArtifact|D2_COMPASNoMissing","DatasetArtifact|D1_COMPASSelected","wasDerivedFrom","{}"
"PipelineRun|run_fc7d525c22","StepRun|run_fc7d525c22::003::B2_binary_race","contains","{}"
"StepRun|run_fc7d525c22::003::B2_binary_race","Step|B2_binary_race","executes","{}"
"StepRun|run_fc7d525c22::003::B2_binary_race","DatasetArtifact|D2_COMPASNoMissing","used","{}"
"DatasetArtifact|D3_COMPASRaceBinary","DataRecordArtifact|D3_COMPASRaceBinary::record::0","containsDR","{}"
"DataRecordArtifact|D3_COMPASRaceBinary::record::0","DataCellArtifact|D3_COMPASRaceBinary::record::0::cell::age","containsRC","{}"
"DataRecordArtifact|D3_COMPASRaceBinary::record::0","DataCellArtifact|D3_COMPASRaceBinary::record::0::cell::c_charge_degree","containsRC","{}"
"DataRecordArtifact|D3_COMPASRaceBinary::record::0","DataCellArtifact|D3_COMPASRaceBinary::record::0::cell::race","containsRC","{}"
"DataRecordArtifact|D3_COMPASRaceBinary::record::0","DataCellArtifact|D3_COMPASRaceBinary::record::0::cell::sex","containsRC","{}"
"DataRecordArtifact|D3_COMPASRaceBinary::record::0","DataCellArtifact|D3_COMPASRaceBinary::record::0::cell::priors_count","containsRC","{}"
"DataRecordArtifact|D3_COMPASRaceBinary::record::0","DataCellArtifact|D3_COMPASRaceBinary::record::0::cell::days_b_screening_arrest","containsRC","{}"
"DataRecordArtifact|D3_COMPASRaceBinary::record::0","DataCellArtifact|D3_COMPASRaceBinary::record::0::cell::two_year_recid","containsRC","{}"
"DataRecordArtifact|D3_COMPASRaceBinary::record::0","DataCellArtifact|D3_COMPASRaceBinary::record::0::cell::c_jail_in","containsRC","{}"
"DataRecordArtifact|D3_COMPASRaceBinary::record::0","DataCellArtifact|D3_COMPASRaceBinary::record::0::cell::c_jail_out","containsRC","{}"
"DatasetArtifact|D3_COMPASRaceBinary","DataRecordArtifact|D3_COMPASRaceBinary::record::1","containsDR","{}"
"DataRecordArtifact|D3_COMPASRaceBinary::record::1","DataCellArtifact|D3_COMPASRaceBinary::record::1::cell::age","containsRC","{}"
"DataRecordArtifact|D3_COMPASRaceBinary::record::1","DataCellArtifact|D3_COMPASRaceBinary::record::1::cell::c_charge_degree","containsRC","{}"
"DataRecordArtifact|D3_COMPASRaceBinary::record::1","DataCellArtifact|D3_COMPASRaceBinary::record::1::cell::race","containsRC","{}"
"DataRecordArtifact|D3_COMPASRaceBinary::record::1","DataCellArtifact|D3_COMPASRaceBinary::record::1::cell::sex","containsRC","{}"
"DataRecordArtifact|D3_COMPASRaceBinary::record::1","DataCellArtifact|D3_COMPASRaceBinary::record::1::cell::priors_count","containsRC","{}"
"DataRecordArtifact|D3_COMPASRaceBinary::record::1","DataCellArtifact|D3_COMPASRaceBinary::record::1::cell::days_b_screening_arrest","containsRC","{}"
