"ID","LABEL","key","props_json"
"Pipeline|compas_recidivism_pipeline","Pipeline","compas_recidivism_pipeline","{""key"": ""compas_recidivism_pipeline"", ""name"": ""compas_recidivism_pipeline""}"
"DataCellArtifact|D0_COMPASRaw::record::0::cell::c_jail_in","DataCellArtifact","D0_COMPASRaw::record::0::cell::c_jail_in","{""key"": ""D0_COMPASRaw::record::0::cell::c_jail_in"", ""record_id"": ""0"", ""dataset_id"": ""D0_COMPASRaw"", ""attribute"": ""c_jail_in"", ""value"": ""2013-01-01"", ""dtype"": ""str"", ""artifact_kind"": ""DataCellArtifact"", ""privacy_categories"": [""criminal_justice_sensitive"", ""temporal_quasi_identifier"", ""sensitive_personal_data""], ""privacy_categories_explicit"": [""criminal_justice_sensitive"", ""temporal_quasi_identifier""], ""privacy_usages"": [""research"", ""criminal_justice_research""], ""privacy_erasures"": [""delete_on_request"", ""retention_5y""], ""privacy_roles"": [""DS"", ""AU"", ""DPO""], ""privacy_annotation_sources"": [""manual""]}"
"DataCellArtifact|D0_COMPASRaw::record::0::cell::c_jail_out","DataCellArtifact","D0_COMPASRaw::record::0::cell::c_jail_out","{""key"": ""D0_COMPASRaw::record::0::cell::c_jail_out"", ""record_id"": ""0"", ""dataset_id"": ""D0_COMPASRaw"", ""attribute"": ""c_jail_out"", ""value"": ""2013-01-10"", ""dtype"": ""str"", ""artifact_kind"": ""DataCellArtifact"", ""privacy_categories"": [""criminal_justice_sensitive"", ""temporal_quasi_identifier"", ""sensitive_personal_data""], ""privacy_categories_explicit"": [""criminal_justice_sensitive"", ""temporal_quasi_identifier""], ""privacy_usages"": [""research"", ""criminal_justice_research""], ""privacy_erasures"": [""delete_on_request"", ""retention_5y""], ""privacy_roles"": [""DS"", ""AU"", ""DPO""], ""privacy_annotation_sources"": [""manual""]}"
"DataCellArtifact|D0_COMPASRaw::record::0::cell::irrelevant_col","DataCellArtifact","D0_COMPASRaw::record::0::cell::irrelevant_col","{""key"": ""D0_COMPASRaw::record::0::cell::irrelevant_col"", ""record_id"": ""0"", ""dataset_id"": ""D0_COMPASRaw"", ""attribute"": ""irrelevant_col"", ""value"": ""x"", ""dtype"": ""str"", ""artifact_kind"": ""DataCellArtifact""}"
"DataRecordArtifact|D0_COMPASRaw::record::1","DataRecordArtifact","D0_COMPASRaw::record::1","{""key"": ""D0_COMPASRaw::record::1"", ""record_id"": ""1"", ""dataset_id"": ""D0_COMPASRaw"", ""artifact_kind"": ""DataRecordArtifact"", ""privacy_categories"": [], ""privacy_categories_explicit"": [], ""privacy_usages"": [""research"", ""criminal_justice_research""], ""privacy_erasures"": [""delete_on_request"", ""retention_5y""], ""privacy_roles"": [""DS"", ""AU"", ""DPO""], ""privacy_annotation_sources"": [""manual""]}"
"DataCellArtifact|D0_COMPASRaw::record::1::cell::age","DataCellArtifact","D0_COMPASRaw::record::1::cell::age","{""key"": ""D0_COMPASRaw::record::1::cell::age"", ""record_id"": ""1"", ""dataset_id"": ""D0_COMPASRaw"", ""attribute"": ""age"", ""value"": 34, ""dtype"": ""int64"", ""artifact_kind"": ""DataCellArtifact"", ""privacy_categories"": [""quasi_identifier"", ""personal_data""], ""privacy_categories_explicit"": [""quasi_identifier""], ""privacy_usages"": [""research"", ""criminal_justice_research""], ""privacy_erasures"": [""delete_on_request"", ""retention_5y""], ""privacy_roles"": [""DS"", ""AU"", ""DPO""], ""privacy_annotation_sources"": [""manual""]}"
"DataCellArtifact|D0_COMPASRaw::record::1::cell::c_charge_degree","DataCellArtifact","D0_COMPASRaw::record::1::cell::c_charge_degree","{""key"": ""D0_COMPASRaw::record::1::cell::c_charge_degree"", ""record_id"": ""1"", ""dataset_id"": ""D0_COMPASRaw"", ""attribute"": ""c_charge_degree"", ""value"": ""M"", ""dtype"": ""str"", ""artifact_kind"": ""DataCellArtifact"", ""privacy_categories"": [""criminal_justice_sensitive"", ""sensitive_personal_data""], ""privacy_categories_explicit"": [""criminal_justice_sensitive""], ""privacy_usages"": [""research"", ""criminal_justice_research""], ""privacy_erasures"": [""delete_on_request"", ""retention_5y""], ""privacy_roles"": [""DS"", ""AU"", ""DPO""], ""privacy_annotation_sources"": [""manual""]}"
"DataCellArtifact|D0_COMPASRaw::record::1::cell::race","DataCellArtifact","D0_COMPASRaw::record::1::cell::race","{""key"": ""D0_COMPASRaw::record::1::cell::race"", ""record_id"": ""1"", ""dataset_id"": ""D0_COMPASRaw"", ""attribute"": ""race"", ""value"": ""Caucasian"", ""dtype"": ""str"", ""artifact_kind"": ""DataCellArtifact"", ""privacy_categories"": [""race_ethnicity"", ""protected_attribute"", ""sensitive_personal_data""], ""privacy_categories_explicit"": [""race_ethnicity"", ""protected_attribute""], ""privacy_usages"": [""research"", ""criminal_justice_research""], ""privacy_erasures"": [""delete_on_request"", ""retention_5y""], ""privacy_roles"": [""DS"", ""AU"", ""DPO""], ""privacy_annotation_sources"": [""manual""]}"
"DataCellArtifact|D0_COMPASRaw::record::1::cell::sex","DataCellArtifact","D0_COMPASRaw::record::1::cell::sex","{""key"": ""D0_COMPASRaw::record::1::cell::sex"", ""record_id"": ""1"", ""dataset_id"": ""D0_COMPASRaw"", ""attribute"": ""sex"", ""value"": ""Female"", ""dtype"": ""str"", ""artifact_kind"": ""DataCellArtifact"", ""privacy_categories"": [""gender"", ""protected_attribute"", ""sensitive_personal_data""], ""privacy_categories_explicit"": [""gender"", ""protected_attribute""], ""privacy_usages"": [""research"", ""criminal_justice_research""], ""privacy_erasures"": [""delete_on_request"", ""retention_5y""], ""privacy_roles"": [""DS"", ""AU"", ""DPO""], ""privacy_annotation_sources"": [""manual""]}"
"DataCellArtifact|D0_COMPASRaw::record::1::cell::priors_count","DataCellArtifact","D0_COMPASRaw::record::1::cell::priors_count","{""key"": ""D0_COMPASRaw::record::1::cell::priors_count"", ""record_id"": ""1"", ""dataset_id"": ""D0_COMPASRaw"", ""attribute"": ""priors_count"", ""value"": 0, ""dtype"": ""int64"", ""artifact_kind"": ""DataCellArtifact"", ""privacy_categories"": [""criminal_justice_sensitive"", ""sensitive_personal_data""], ""privacy_categories_explicit"": [""criminal_justice_sensitive""], ""privacy_usages"": [""research"", ""criminal_justice_research""], ""privacy_erasures"": [""delete_on_request"", ""retention_5y""], ""privacy_roles"": [""DS"", ""AU"", ""DPO""], ""privacy_annotation_sources"": [""manual""]}"
"DataCellArtifact|D0_COMPASRaw::record::1::cell::days_b_screening_arrest","DataCellArtifact","D0_COMPASRaw::record::1::cell::days_b_screening_arrest","{""key"": ""D0_COMPASRaw::record::1::cell::days_b_screening_arrest"", ""record_id"": ""1"", ""dataset_id"": ""D0_COMPASRaw"", ""attribute"": ""days_b_screening_arrest"", ""value"": 0.0, ""dtype"": ""float64"", ""artifact_kind"": ""DataCellArtifact"", ""privacy_categories"": [""criminal_justice_sensitive"", ""temporal_quasi_identifier"", ""sensitive_personal_data""], ""privacy_categories_explicit"": [""criminal_justice_sensitive"", ""temporal_quasi_identifier""], ""privacy_usages"": [""research"", ""criminal_justice_research""], ""privacy_erasures"": [""delete_on_request"", ""retention_5y""], ""privacy_roles"": [""DS"", ""AU"", ""DPO""], ""privacy_annotation_sources"": [""manual""]}"
"DataCellArtifact|D0_COMPASRaw::record::1::cell::two_year_recid","DataCellArtifact","D0_COMPASRaw::record::1::cell::two_year_recid","{""key"": ""D0_COMPASRaw::record::1::cell::two_year_recid"", ""record_id"": ""1"", ""dataset_id"": ""D0_COMPASRaw"", ""attribute"": ""two_year_recid"", ""value"": 0, ""dtype"": ""int64"", ""artifact_kind"": ""DataCellArtifact"", ""privacy_categories"": [""criminal_justice_sensitive"", ""behavioural_sensitive"", ""sensitive_personal_data""], ""privacy_categories_explicit"": [""criminal_justice_sensitive"", ""behavioural_sensitive""], ""privacy_usages"": [""research"", ""criminal_justice_research""], ""privacy_erasures"": [""delete_on_request"", ""retention_5y""], ""privacy_roles"": [""DS"", ""AU"", ""DPO""], ""privacy_annotation_sources"": [""manual""]}"
"DataCellArtifact|D0_COMPASRaw::record::1::cell::c_jail_in","DataCellArtifact","D0_COMPASRaw::record::1::cell::c_jail_in","{""key"": ""D0_COMPASRaw::record::1::cell::c_jail_in"", ""record_id"": ""1"", ""dataset_id"": ""D0_COMPASRaw"", ""attribute"": ""c_jail_in"", ""value"": ""2013-02-01"", ""dtype"": ""str"", ""artifact_kind"": ""DataCellArtifact"", ""privacy_categories"": [""criminal_justice_sensitive"", ""temporal_quasi_identifier"", ""sensitive_personal_data""], ""privacy_categories_explicit"": [""criminal_justice_sensitive"", ""temporal_quasi_identifier""], ""privacy_usages"": [""research"", ""criminal_justice_research""], ""privacy_erasures"": [""delete_on_request"", ""retention_5y""], ""privacy_roles"": [""DS"", ""AU"", ""DPO""], ""privacy_annotation_sources"": [""manual""]}"
"DataCellArtifact|D0_COMPASRaw::record::1::cell::c_jail_out","DataCellArtifact","D0_COMPASRaw::record::1::cell::c_jail_out","{""key"": ""D0_COMPASRaw::record::1::cell::c_jail_out"", ""record_id"": ""1"", ""dataset_id"": ""D0_COMPASRaw"", ""attribute"": ""c_jail_out"", ""value"": ""2013-02-02"", ""dtype"": ""str"", ""artifact_kind"": ""DataCellArtifact"", ""privacy_categories"": [""criminal_justice_sensitive"", ""temporal_quasi_identifier"", ""sensitive_personal_data""], ""privacy_categories_explicit"": [""criminal_justice_sensitive"", ""temporal_quasi_identifier""], ""privacy_usages"": [""research"", ""criminal_justice_research""], ""privacy_erasures"": [""delete_on_request"", ""retention_5y""], ""privacy_roles"": [""DS"", ""AU"", ""DPO""], ""privacy_annotation_sources"": [""manual""]}"
"DataCellArtifact|D0_COMPASRaw::record::1::cell::irrelevant_col","DataCellArtifact","D0_COMPASRaw::record::1::cell::irrelevant_col","{""key"": ""D0_COMPASRaw::record::1::cell::irrelevant_col"", ""record_id"": ""1"", ""dataset_id"": ""D0_COMPASRaw"", ""attribute"": ""irrelevant_col"", ""value"": ""y"", ""dtype"": ""str"", ""artifact_kind"": ""DataCellArtifact""}"
"DataRecordArtifact|D0_COMPASRaw::record::2","DataRecordArtifact","D0_COMPASRaw::record::2","{""key"": ""D0_COMPASRaw::record::2"", ""record_id"": ""2"", ""dataset_id"": ""D0_COMPASRaw"", ""artifact_kind"": ""DataRecordArtifact"", ""privacy_categories"": [], ""privacy_categories_explicit"": [], ""privacy_usages"": [""research"", ""criminal_justice_research""], ""privacy_erasures"": [""delete_on_request"", ""retention_5y""], ""privacy_roles"": [""DS"", ""AU"", ""DPO""], ""privacy_annotation_sources"": [""manual""]}"
"DataCellArtifact|D0_COMPASRaw::record::2::cell::age","DataCellArtifact","D0_COMPASRaw::record::2::cell::age","{""key"": ""D0_COMPASRaw::record::2::cell::age"", ""record_id"": ""2"", ""dataset_id"": ""D0_COMPASRaw"", ""attribute"": ""age"", ""value"": 45, ""dtype"": ""int64"", ""artifact_kind"": ""DataCellArtifact"", ""privacy_categories"": [""quasi_identifier"", ""personal_data""], ""privacy_categories_explicit"": [""quasi_identifier""], ""privacy_usages"": [""research"", ""criminal_justice_research""], ""privacy_erasures"": [""delete_on_request"", ""retention_5y""], ""privacy_roles"": [""DS"", ""AU"", ""DPO""], ""privacy_annotation_sources"": [""manual""]}"
"DataCellArtifact|D0_COMPASRaw::record::2::cell::c_charge_degree","DataCellArtifact","D0_COMPASRaw::record::2::cell::c_charge_degree","{""key"": ""D0_COMPASRaw::record::2::cell::c_charge_degree"", ""record_id"": ""2"", ""dataset_id"": ""D0_COMPASRaw"", ""attribute"": ""c_charge_degree"", ""value"": ""F"", ""dtype"": ""str"", ""artifact_kind"": ""DataCellArtifact"", ""privacy_categories"": [""criminal_justice_sensitive"", ""sensitive_personal_data""], ""privacy_categories_explicit"": [""criminal_justice_sensitive""], ""privacy_usages"": [""research"", ""criminal_justice_research""], ""privacy_erasures"": [""delete_on_request"", ""retention_5y""], ""privacy_roles"": [""DS"", ""AU"", ""DPO""], ""privacy_annotation_sources"": [""manual""]}"
"DataCellArtifact|D0_COMPASRaw::record::2::cell::race","DataCellArtifact","D0_COMPASRaw::record::2::cell::race","{""key"": ""D0_COMPASRaw::record::2::cell::race"", ""record_id"": ""2"", ""dataset_id"": ""D0_COMPASRaw"", ""attribute"": ""race"", ""value"": ""Hispanic"", ""dtype"": ""str"", ""artifact_kind"": ""DataCellArtifact"", ""privacy_categories"": [""race_ethnicity"", ""protected_attribute"", ""sensitive_personal_data""], ""privacy_categories_explicit"": [""race_ethnicity"", ""protected_attribute""], ""privacy_usages"": [""research"", ""criminal_justice_research""], ""privacy_erasures"": [""delete_on_request"", ""retention_5y""], ""privacy_roles"": [""DS"", ""AU"", ""DPO""], ""privacy_annotation_sources"": [""manual""]}"
"DataCellArtifact|D0_COMPASRaw::record::2::cell::sex","DataCellArtifact","D0_COMPASRaw::record::2::cell::sex","{""key"": ""D0_COMPASRaw::record::2::cell::sex"", ""record_id"": ""2"", ""dataset_id"": ""D0_COMPASRaw"", ""attribute"": ""sex"", ""value"": ""Male"", ""dtype"": ""str"", ""artifact_kind"": ""DataCellArtifact"", ""privacy_categories"": [""gender"", ""protected_attribute"", ""sensitive_personal_data""], ""privacy_categories_explicit"": [""gender"", ""protected_attribute""], ""privacy_usages"": [""research"", ""criminal_justice_research""], ""privacy_erasures"": [""delete_on_request"", ""retention_5y""], ""privacy_roles"": [""DS"", ""AU"", ""DPO""], ""privacy_annotation_sources"": [""manual""]}"
"DataCellArtifact|D0_COMPASRaw::record::2::cell::priors_count","DataCellArtifact","D0_COMPASRaw::record::2::cell::priors_count","{""key"": ""D0_COMPASRaw::record::2::cell::priors_count"", ""record_id"": ""2"", ""dataset_id"": ""D0_COMPASRaw"", ""attribute"": ""priors_count"", ""value"": 5, ""dtype"": ""int64"", ""artifact_kind"": ""DataCellArtifact"", ""privacy_categories"": [""criminal_justice_sensitive"", ""sensitive_personal_data""], ""privacy_categories_explicit"": [""criminal_justice_sensitive""], ""privacy_usages"": [""research"", ""criminal_justice_research""], ""privacy_erasures"": [""delete_on_request"", ""retention_5y""], ""privacy_roles"": [""DS"", ""AU"", ""DPO""], ""privacy_annotation_sources"": [""manual""]}"
"DataCellArtifact|D0_COMPASRaw::record::2::cell::days_b_screening_arrest","DataCellArtifact","D0_COMPASRaw::record::2::cell::days_b_screening_arrest","{""key"": ""D0_COMPASRaw::record::2::cell::days_b_screening_arrest"", ""record_id"": ""2"", ""dataset_id"": ""D0_COMPASRaw"", ""attribute"": ""days_b_screening_arrest"", ""value"": 2.0, ""dtype"": ""float64"", ""artifact_kind"": ""DataCellArtifact"", ""privacy_categories"": [""criminal_justice_sensitive"", ""temporal_quasi_identifier"", ""sensitive_personal_data""], ""privacy_categories_explicit"": [""criminal_justice_sensitive"", ""temporal_quasi_identifier""], ""privacy_usages"": [""research"", ""criminal_justice_research""], ""privacy_erasures"": [""delete_on_request"", ""retention_5y""], ""privacy_roles"": [""DS"", ""AU"", ""DPO""], ""privacy_annotation_sources"": [""manual""]}"
"DataCellArtifact|D0_COMPASRaw::record::2::cell::two_year_recid","DataCellArtifact","D0_COMPASRaw::record::2::cell::two_year_recid","{""key"": ""D0_COMPASRaw::record::2::cell::two_year_recid"", ""record_id"": ""2"", ""dataset_id"": ""D0_COMPASRaw"", ""attribute"": ""two_year_recid"", ""value"": 1, ""dtype"": ""int64"", ""artifact_kind"": ""DataCellArtifact"", ""privacy_categories"": [""criminal_justice_sensitive"", ""behavioural_sensitive"", ""sensitive_personal_data""], ""privacy_categories_explicit"": [""criminal_justice_sensitive"", ""behavioural_sensitive""], ""privacy_usages"": [""research"", ""criminal_justice_research""], ""privacy_erasures"": [""delete_on_request"", ""retention_5y""], ""privacy_roles"": [""DS"", ""AU"", ""DPO""], ""privacy_annotation_sources"": [""manual""]}"
"DataCellArtifact|D0_COMPASRaw::record::2::cell::c_jail_in","DataCellArtifact","D0_COMPASRaw::record::2::cell::c_jail_in","{""key"": ""D0_COMPASRaw::record::2::cell::c_jail_in"", ""record_id"": ""2"", ""dataset_id"": ""D0_COMPASRaw"", ""attribute"": ""c_jail_in"", ""value"": ""2013-03-05"", ""dtype"": ""str"", ""artifact_kind"": ""DataCellArtifact"", ""privacy_categories"": [""criminal_justice_sensitive"", ""temporal_quasi_identifier"", ""sensitive_personal_data""], ""privacy_categories_explicit"": [""criminal_justice_sensitive"", ""temporal_quasi_identifier""], ""privacy_usages"": [""research"", ""criminal_justice_research""], ""privacy_erasures"": [""delete_on_request"", ""retention_5y""], ""privacy_roles"": [""DS"", ""AU"", ""DPO""], ""privacy_annotation_sources"": [""manual""]}"
"DataCellArtifact|D0_COMPASRaw::record::2::cell::c_jail_out","DataCellArtifact","D0_COMPASRaw::record::2::cell::c_jail_out","{""key"": ""D0_COMPASRaw::record::2::cell::c_jail_out"", ""record_id"": ""2"", ""dataset_id"": ""D0_COMPASRaw"", ""attribute"": ""c_jail_out"", ""value"": ""2013-03-20"", ""dtype"": ""str"", ""artifact_kind"": ""DataCellArtifact"", ""privacy_categories"": [""criminal_justice_sensitive"", ""temporal_quasi_identifier"", ""sensitive_personal_data""], ""privacy_categories_explicit"": [""criminal_justice_sensitive"", ""temporal_quasi_identifier""], ""privacy_usages"": [""research"", ""criminal_justice_research""], ""privacy_erasures"": [""delete_on_request"", ""retention_5y""], ""privacy_roles"": [""DS"", ""AU"", ""DPO""], ""privacy_annotation_sources"": [""manual""]}"
"DataCellArtifact|D0_COMPASRaw::record::2::cell::irrelevant_col","DataCellArtifact","D0_COMPASRaw::record::2::cell::irrelevant_col","{""key"": ""D0_COMPASRaw::record::2::cell::irrelevant_col"", ""record_id"": ""2"", ""dataset_id"": ""D0_COMPASRaw"", ""attribute"": ""irrelevant_col"", ""value"": ""z"", ""dtype"": ""str"", ""artifact_kind"": ""DataCellArtifact""}"
"DataRecordArtifact|D0_COMPASRaw::record::3","DataRecordArtifact","D0_COMPASRaw::record::3","{""key"": ""D0_COMPASRaw::record::3"", ""record_id"": ""3"", ""dataset_id"": ""D0_COMPASRaw"", ""artifact_kind"": ""DataRecordArtifact"", ""privacy_categories"": [], ""privacy_categories_explicit"": [], ""privacy_usages"": [""research"", ""criminal_justice_research""], ""privacy_erasures"": [""delete_on_request"", ""retention_5y""], ""privacy_roles"": [""DS"", ""AU"", ""DPO""], ""privacy_annotation_sources"": [""manual""]}"
"DataCellArtifact|D0_COMPASRaw::record::3::cell::age","DataCellArtifact","D0_COMPASRaw::record::3::cell::age","{""key"": ""D0_COMPASRaw::record::3::cell::age"", ""record_id"": ""3"", ""dataset_id"": ""D0_COMPASRaw"", ""attribute"": ""age"", ""value"": 22, ""dtype"": ""int64"", ""artifact_kind"": ""DataCellArtifact"", ""privacy_categories"": [""quasi_identifier"", ""personal_data""], ""privacy_categories_explicit"": [""quasi_identifier""], ""privacy_usages"": [""research"", ""criminal_justice_research""], ""privacy_erasures"": [""delete_on_request"", ""retention_5y""], ""privacy_roles"": [""DS"", ""AU"", ""DPO""], ""privacy_annotation_sources"": [""manual""]}"
"DataCellArtifact|D0_COMPASRaw::record::3::cell::c_charge_degree","DataCellArtifact","D0_COMPASRaw::record::3::cell::c_charge_degree","{""key"": ""D0_COMPASRaw::record::3::cell::c_charge_degree"", ""record_id"": ""3"", ""dataset_id"": ""D0_COMPASRaw"", ""attribute"": ""c_charge_degree"", ""value"": ""M"", ""dtype"": ""str"", ""artifact_kind"": ""DataCellArtifact"", ""privacy_categories"": [""criminal_justice_sensitive"", ""sensitive_personal_data""], ""privacy_categories_explicit"": [""criminal_justice_sensitive""], ""privacy_usages"": [""research"", ""criminal_justice_research""], ""privacy_erasures"": [""delete_on_request"", ""retention_5y""], ""privacy_roles"": [""DS"", ""AU"", ""DPO""], ""privacy_annotation_sources"": [""manual""]}"
"DataCellArtifact|D0_COMPASRaw::record::3::cell::race","DataCellArtifact","D0_COMPASRaw::record::3::cell::race","{""key"": ""D0_COMPASRaw::record::3::cell::race"", ""record_id"": ""3"", ""dataset_id"": ""D0_COMPASRaw"", ""attribute"": ""race"", ""value"": ""Caucasian"", ""dtype"": ""str"", ""artifact_kind"": ""DataCellArtifact"", ""privacy_categories"": [""race_ethnicity"", ""protected_attribute"", ""sensitive_personal_data""], ""privacy_categories_explicit"": [""race_ethnicity"", ""protected_attribute""], ""privacy_usages"": [""research"", ""criminal_justice_research""], ""privacy_erasures"": [""delete_on_request"", ""retention_5y""], ""privacy_roles"": [""DS"", ""AU"", ""DPO""], ""privacy_annotation_sources"": [""manual""]}"
